unique_regions_count,avg_popularity_index
1,5.076469250167638
2,5.1869933562479975
3,5.02967633213263
4,4.95757059702261
5,4.86993894988323
6,4.86872803141497
7,4.832662313724743
8,4.798441315899906
9,4.765033628467042
10,4.770253560798537
11,4.739305087454915
12,4.732528731618487
13,4.726876637268775
14,4.761840731607279
15,4.7414533900269955
16,4.813854076434463
17,4.826001684663172
18,4.8442756231321535
19,4.883782714566562
20,4.863900230253187
21,4.9279228388545455
22,4.930975750732257
23,4.985130581469782
24,5.006992227078064
25,5.013434736119895
26,5.036220650092482
27,5.113447826661844
28,5.09785118582073
29,5.127442106499734
30,5.187297728443723
31,5.171354344323796
32,5.214195090470462
33,5.247646603008745
34,5.265853353872438
35,5.303836343972418
36,5.2497471512226355
37,5.2301809441327425
38,5.318179735566361
39,5.300963533897872
40,5.335582324958233
41,5.369594125303688
42,5.345711012419066
43,5.383775159691377
44,5.437577000856932
45,5.4734385142023445
46,5.477788193373381
47,5.449902841795604
48,5.500495727179681
49,5.541375274779701
50,5.619839296273912
51,5.6087345863208355
52,5.629249172064369
53,5.779903192831437
54,5.816766027070183
55,6.109108914089879
56,5.985111184480345
57,6.141793708500171
58,6.123166705876949
59,6.457930951780925
60,6.357166826842545
61,6.329409379910527
62,5.993394633647097
63,5.7982738507770675
64,7.026127372311542
65,5.992075995644817
66,5.536885335589223
67,6.374284487026375
68,5.545812095168224
69,6.3974522870779085
70,5.43052814285971
71,8.717923410394981
72,4.300951004443596
74,6.017779021291134
75,6.5331704838989255
76,5.222569208002527
77,5.725199838963932
78,5.3153622046543045
86,6.1099745808292
88,5.881472683395337
89,5.006603606137516
103,5.451444081857558
105,5.759018183305194
